Timestamp,Action,Price,Balance,PnL%,Result
2026-02-13T11:35:00.000Z,ENTRY_SHORT,66910.0000,8.00,0,PENDING
2026-02-13T11:50:00.000Z,EXIT_SHORT,67036.0000,7.68,-10.00%,LOSS
2026-02-13T11:50:00.000Z,ENTRY_SHORT,67036.0000,7.68,0,PENDING
2026-02-13T11:55:00.000Z,EXIT_SHORT,67127.0000,7.37,-10.00%,LOSS
2026-02-13T12:00:00.000Z,ENTRY_LONG,66987.0000,7.37,0,PENDING
2026-02-13T13:25:00.000Z,EXIT_LONG,67310.0000,8.11,25.00%,WIN
2026-02-13T13:25:00.000Z,ENTRY_LONG,67310.0000,8.11,0,PENDING
2026-02-13T13:40:00.000Z,EXIT_LONG,67296.0000,7.79,-9.09%,LOSS
2026-02-13T14:30:00.000Z,ENTRY_LONG,67506.0000,7.79,0,PENDING
2026-02-13T14:35:00.000Z,EXIT_LONG,67343.0000,7.46,-10.55%,LOSS
2026-02-13T14:40:00.000Z,ENTRY_LONG,67290.0000,7.46,0,PENDING
2026-02-13T14:45:00.000Z,EXIT_LONG,67844.0000,8.20,25.00%,WIN
2026-02-13T14:45:00.000Z,ENTRY_SHORT,67844.0000,8.20,0,PENDING
2026-02-13T15:00:00.000Z,EXIT_SHORT,67810.0000,7.73,-13.18%,LOSS
2026-02-13T16:25:00.000Z,ENTRY_SHORT,69041.0000,7.73,0,PENDING
2026-02-13T16:30:00.000Z,EXIT_SHORT,69163.0000,7.19,-17.33%,LOSS
2026-02-13T19:50:00.000Z,ENTRY_SHORT,68973.0000,7.19,0,PENDING
2026-02-14T00:50:00.000Z,EXIT_SHORT,69091.0000,6.90,-10.00%,LOSS
2026-02-14T01:20:00.000Z,ENTRY_LONG,68977.0000,6.90,0,PENDING
2026-02-14T02:25:00.000Z,EXIT_LONG,68877.0000,6.63,-10.00%,LOSS
2026-02-14T04:20:00.000Z,ENTRY_SHORT,68856.0000,6.63,0,PENDING
2026-02-14T07:40:00.000Z,EXIT_SHORT,69152.0000,6.36,-10.00%,LOSS
2026-02-14T07:40:00.000Z,ENTRY_SHORT,69152.0000,6.36,0,PENDING
2026-02-14T07:50:00.000Z,EXIT_SHORT,69286.0000,6.11,-10.00%,LOSS
2026-02-14T08:45:00.000Z,ENTRY_SHORT,69770.0000,6.11,0,PENDING
2026-02-14T11:10:00.000Z,EXIT_SHORT,70080.0000,5.86,-10.00%,LOSS
2026-02-14T11:25:00.000Z,ENTRY_SHORT,70171.0000,5.86,0,PENDING
2026-02-14T11:45:00.000Z,EXIT_SHORT,70262.0000,5.63,-10.00%,LOSS
2026-02-14T13:00:00.000Z,ENTRY_LONG,69425.0000,5.63,0,PENDING
2026-02-14T13:20:00.000Z,EXIT_LONG,69355.0000,5.40,-10.19%,LOSS
2026-02-14T14:50:00.000Z,ENTRY_LONG,69753.0000,5.40,0,PENDING
2026-02-14T15:10:00.000Z,EXIT_LONG,69596.0000,5.18,-10.00%,LOSS
2026-02-14T16:40:00.000Z,ENTRY_SHORT,69623.0000,5.18,0,PENDING
2026-02-14T16:50:00.000Z,EXIT_SHORT,69714.0000,4.98,-10.00%,LOSS
2026-02-14T16:50:00.000Z,ENTRY_LONG,69714.0000,4.98,0,PENDING
2026-02-14T21:00:00.000Z,EXIT_LONG,70153.0000,5.47,25.00%,WIN
2026-02-14T21:00:00.000Z,ENTRY_SHORT,70153.0000,5.47,0,PENDING
2026-02-14T21:35:00.000Z,EXIT_SHORT,69718.0000,6.02,22.73%,WIN
2026-02-14T21:35:00.000Z,ENTRY_LONG,69718.0000,6.02,0,PENDING
2026-02-14T22:45:00.000Z,EXIT_LONG,69942.0000,6.62,20.83%,WIN
2026-02-14T23:15:00.000Z,ENTRY_SHORT,69885.0000,6.62,0,PENDING
2026-02-15T01:20:00.000Z,EXIT_SHORT,69542.0000,7.29,19.23%,WIN
2026-02-15T01:40:00.000Z,ENTRY_LONG,69366.0000,7.29,0,PENDING
2026-02-15T02:05:00.000Z,EXIT_LONG,69471.0000,8.01,17.86%,WIN
2026-02-15T02:05:00.000Z,ENTRY_SHORT,69471.0000,8.01,0,PENDING
2026-02-15T03:45:00.000Z,EXIT_SHORT,69882.0000,7.69,-6.67%,LOSS
2026-02-15T03:45:00.000Z,ENTRY_LONG,69882.0000,7.69,0,PENDING
2026-02-15T04:05:00.000Z,EXIT_LONG,70253.0000,8.46,25.00%,WIN
2026-02-15T04:55:00.000Z,ENTRY_LONG,70161.0000,8.46,0,PENDING
2026-02-15T06:35:00.000Z,EXIT_LONG,70400.0000,9.31,22.73%,WIN
2026-02-15T06:35:00.000Z,ENTRY_SHORT,70400.0000,9.31,0,PENDING
